word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster	pq
say	0.660666384865205	0.177780517220074	0.68416809659169	55	13	0.236363636363636	3	0.216220268363135
sitting	0.572274004943793	0.291804199214224	0.642376235093939	25	9	0.36	6	0.412038872428295
it	1.33854311875492	0.0269597320573587	1.33881459056837	870	18	0.0206896551724138	2	0.0277066971897898
always	0.958729909243154	0.268564796477397	0.995635520049547	47	14	0.297872340425532	4	0.36717510339123
said	1.48245836722804	0.0523600069281497	1.48338274928959	483	18	0.0372670807453416	2	0.0552530573962171
time	1.05509517853291	0.253251698224776	1.08506325088316	56	14	0.25	3	0.339139302523659
passed	0.706153022585108	0.328352542269393	0.778760221968777	26	10	0.384615384615385	6	0.48887632714169
large	0.84515375063763	0.128691920405392	0.854895591633552	103	15	0.145631067961165	3	0.147699675257537
town	0.217906377225536	0.103432047913311	0.24120816273729	34	7	0.205882352941176	5	0.115364426837454
which	0.73554055102448	0.0620926993981151	0.738156762158242	200	16	0.08	2	0.0662034503391415
capital	0.572215818866319	0.631898852497187	0.852482904900804	6	4	0.666666666666667	10	1.71664461462283
every	0.34731735361616	0.1037623778361	0.362485827553484	54	10	0.185185185185185	5	0.115775521212302
at	1.25841462900032	0.0657275218057058	1.26012994790408	322	18	0.0559006211180124	2	0.0703515551830661
court	0.439493611305891	0.208671720274026	0.48651672244725	30	9	0.3	4	0.263698044945754
two	0.872238881312597	0.207401916387563	0.896557985294138	60	14	0.233333333333333	3	0.261673502214746
themselves	4.06791384283261	0.768961149192867	4.13995462314229	22	12	0.545454545454545	9	3.32827637649038
weavers	0.0170405842338398	0.0329224021484428	0.0370710948618243	9	1	0.111111111111111	7	0.034043185595016
made	4.07251876677916	0.604304016887225	4.11710972049501	48	15	0.3125	1	1.52719270014676
their	0.690947003379723	0.0800172034343016	0.695564888651566	143	15	0.104895104895105	2	0.0869768475378087
they	0.779967999161355	0.0275919677979995	0.780455890107015	495	18	0.0363636363636364	2	0.0283748867597463
gave	1.17586805226878	0.413670243074747	1.24651062825468	30	13	0.433333333333333	1	0.705524899919898
out	1.40998247547663	0.118389237561909	1.41494402458956	189	18	0.0952380952380952	2	0.13428742320988
knew	0.98827923295125	0.258602149850837	1.02155318715678	51	13	0.254901960784314	3	0.348803479533706
how	1.0694273441889	0.127272927955706	1.07697411421507	132	17	0.128787878787879	2	0.145833596816906
most	0.840305746963405	0.160696912623116	0.855533310927358	79	15	0.189873417721519	3	0.191464698557646
beautiful	1.25869199001529	0.288043904366423	1.29122996269886	56	14	0.25	3	0.404580993312642
colors	0.2901986480195	0.246121447601557	0.38051415516618	16	6	0.375	6	0.32647360349824
from	1.39445345919328	0.121788581297662	1.39976173272118	181	18	0.0994475138121547	2	0.138677975148193
should	0.706706022242556	0.165813684145936	0.725897774982087	64	14	0.21875	3	0.198772961141386
have	1.28936114791181	0.0831251482113238	1.29203790966427	256	18	0.0703125	2	0.0906613896642055
wonderful	0.471305569735628	0.41416392066019	0.627423854535708	12	6	0.5	8	0.70696212689208
everyone	1.08142422153504	0.618630957707246	1.24586620820875	12	8	0.666666666666667	10	1.62213207969923
unfit	0.020374556804601	0.0576029115501674	0.0611000653358106	6	1	0.166666666666667	5	0.0611238216418087
office	0.0692670633330063	0.068333970779884	0.0973008613801787	17	3	0.176470588235294	5	0.0733459937753504
held	2.35850929324115	0.690820767974453	2.45760033768098	19	11	0.578947368421053	9	2.23436989427988
these	0.781939993365749	0.312257002892742	0.84198253490223	31	11	0.354838709677419	6	0.454031526611159
must	0.912014189086754	0.128841573522116	0.92107004737057	111	16	0.144144144144144	3	0.147896834382955
indeed	0.792456416436795	0.442106540614307	0.907438904392905	18	9	0.5	8	0.792456934521366
be	1.06886594324234	0.0645153194841221	1.07081120234684	279	18	0.0645161290322581	2	0.0689645921818247
splendid	0.423540478260035	0.220187822482015	0.477356485128368	27	8	0.296296296296296	4	0.28236007186094
thought	1.05881086536759	0.146541205449839	1.06890353798421	111	16	0.144144144144144	3	0.171702730566011
i	0.767004136282411	0.0194640201689443	0.767251062661671	696	17	0.0244252873563218	2	0.0198503885316864
such	0.773923780837112	0.158427556676686	0.789972980082075	74	15	0.202702702702703	3	0.188251834923523
might	0.502809905723206	0.184515876478318	0.535596779271442	40	10	0.25	4	0.22626544301253
once	3.25318207063755	0.582327363983235	3.30489012579258	42	16	0.380952380952381	1	1.39421957238267
find	0.26282076588535	0.144537314161314	0.299942978190069	28	7	0.25	5	0.168958058082465
what	1.02652936830031	0.0834289724994494	1.02991404371207	203	18	0.0886699507389163	2	0.0910229212971706
men	0.284493599143729	0.137951427334691	0.316175907142577	32	8	0.25	5	0.160027441270703
my	0.635748508722066	0.0620479757202158	0.638769220950186	173	15	0.0867052023121387	2	0.0661526113426323
are	0.643385688967256	0.0734962388041083	0.647569951345969	146	15	0.102739726027397	2	0.0793264332885627
also	0.795630796595468	0.290368971262198	0.846960745231446	35	11	0.314285714285714	4	0.409183025407821
able	0.888230040766545	0.47040362984214	1.00510306948531	18	9	0.5	8	0.888230464460933
wise	0.334737463226586	0.462586439213901	0.570995081442884	7	4	0.571428571428571	10	0.860764359085496
this	0.976808578851818	0.108817373545557	0.982851067305653	144	18	0.125	2	0.122104460203051
stuff	0.167559264016715	0.215187570743482	0.272730265207777	11	4	0.363636363636364	6	0.274189809847096
me	0.82498424596711	0.0839713710082446	0.829246764987916	162	17	0.104938271604938	2	0.091668937356979
immediately	0.223222719818259	0.236112354593002	0.324926801963938	13	5	0.384615384615385	6	0.30909304007293
caused	0.452735288212549	0.57594866322379	0.732588632086365	6	4	0.666666666666667	10	1.35820504093292
given	45.0872834982259	0.984213434190877	45.0980244504505	13	10	0.769230769230769	12	62.3449992918747
both	1.716162071511	0.429691697370652	1.76913741989767	41	14	0.341463414634146	1	0.753437562437022
order	0.311931617904352	0.272367101217442	0.414107681737515	15	6	0.4	6	0.37431938780277
begin	1.33574707310293	0.774508645421316	1.54404788952137	7	5	0.714285714285714	9	3.43475982424441
work	0.284045236508954	0.242167299050207	0.373264915459115	16	6	0.375	6	0.31955245365725
directly	0.549402942979303	0.432048059554008	0.698934274105014	13	7	0.538461538461538	8	0.760712357483516
pretended	0.020374556804601	0.0576029115501674	0.0611000653358106	6	1	0.166666666666667	5	0.0611238216418087
set	0.525607280359465	0.332418738542877	0.621904519119543	19	8	0.421052631578947	6	0.497944980985999
up	1.04075471554285	0.119527257927806	1.04759588740717	138	17	0.123188405797101	2	0.135753501745549
looms	0.0153044036936202	0.0224435751183978	0.0271650296615421	12	1	0.0833333333333333	7	0.0229588538800879
very	0.938352792233203	0.0944204737113485	0.943091293856393	162	17	0.104938271604938	2	0.104265247800282
though	0.653087763747209	0.338236531326485	0.735477789114057	23	10	0.434782608695652	6	0.511113936229315
reality	0.54851086678895	0.396941532955559	0.677072190811788	15	7	0.466666666666667	8	0.658214011820361
nothing	0.733991510503818	0.205755238456521	0.76228521935295	51	12	0.235294117647059	3	0.259057721774169
asked	0.720088257630544	0.193568833268807	0.745651387707714	54	13	0.240740740740741	3	0.240031438831194
delicate	27.8448345579729	0.98624784895684	27.862295246093	7	6	0.857142857142857	12	71.7158970885041
silk	0.572215818866319	0.631898852497187	0.852482904900804	6	4	0.666666666666667	10	1.71664461462283
gold	0.335871874879323	0.215566946465177	0.399097763390466	22	7	0.318181818181818	4	0.274806046856116
put	0.854671362878316	0.254771875985994	0.891836222250308	45	12	0.266666666666667	3	0.341870989266644
into	1.56436598679127	0.154584079996925	1.57198510756874	154	18	0.116883116883117	2	0.182849738619025
own	0.640601928538263	0.193696676638177	0.669245271471989	48	13	0.270833333333333	4	0.240228051932829
continued	0.222194953985988	0.307666772227979	0.379512108252185	9	4	0.444444444444444	6	0.444391168712317
empty	0.0700914865053407	0.0655023994809446	0.0959342525810756	18	3	0.166666666666667	5	0.0700937053712734
late	0.452735288212549	0.57594866322379	0.732588632086365	6	4	0.666666666666667	10	1.35820504093292
night	0.630304628768388	0.239632755636155	0.674320237439625	36	10	0.277777777777778	4	0.315153969890749
like	0.834889970008096	0.0995059385426968	0.840798842664155	136	16	0.117647058823529	2	0.110501493348732
know	0.950828068262371	0.132557717612076	0.960023730901521	112	16	0.142857142857143	3	0.15281445267709
on	1.17108996071775	0.0521730594287633	1.17225156183477	383	18	0.0469973890339426	2	0.0550449213833483
with	0.931337428551368	0.0379564693765789	0.932110561783423	425	18	0.0423529411764706	2	0.0394540040739969
cloth	0.250267715071209	0.219695756052274	0.333016747978753	16	6	0.375	6	0.281551404796656
after	1.13852200647231	0.356448606138443	1.19301633184117	37	12	0.324324324324324	1	0.553877451806318
some	0.545729773562246	0.127869212924665	0.560510054652254	67	14	0.208955223880597	3	0.146617015268399
little	0.760250952308902	0.0365315514028754	0.761128152635608	361	18	0.0498614958448753	2	0.0379167075539088
however	0.831786584651613	0.299610641521199	0.884101498086695	35	12	0.342857142857143	4	0.427777261167892
rather	0.810696810747914	0.461898449166814	0.933048496220613	17	9	0.529411764705882	8	0.858385277744728
when	1.05386429456199	0.0972980460715166	1.05834628601511	176	17	0.0965909090909091	2	0.107785350023985
would	0.913098693959956	0.113795547497956	0.920162296305242	128	17	0.1328125	3	0.128407781270647
unable	0.233450826364361	0.456644535850779	0.512858187467624	5	3	0.6	10	0.840415834532531
see	1.76613441500419	0.216571465934765	1.77936336135128	115	18	0.156521739130435	3	0.276440615216003
